DICT_CULTURE_ID	DICT_NM
8677	Input Rcv Serial (Range)
8678	序列登入(范围)
8679	ｼﾘｱﾙ登入(確認)
8680	Input Rcv Serial (Confirm)
8681	序列登入(确认)
8682	ｼﾘｱﾙ登入(ｼﾘｱﾙ)
8683	Input Rcv Serial (Serial)
8684	序列登入(序列)
8685	登録数
8686	Registered Qty
8687	登陆数
8688	入荷検品格納を
8689	Complete Put-away Inspection?
8690	收货检品上架
8691	入荷検品格納を
8692	End Put-away Inspection?
8693	收货检品上架
8694	入庫ラベル使用
8695	Use Receiving Label
8696	入库标签使用
8697	汎用ラベル使用
8698	Use Generic Label
8699	通用标签使用
8700	入荷検品格納完了
8701	Put-away Inspection Complete.
8702	收货检品上架完了
8703	完了しますか？
8704	 
8705	要完成吗？
8706	検品格納(終了)
8707	Put-away Inspection (End)
8708	检品上架(终了)
8709	検品格納(詳細)
8710	Put-away Inspection (Details)
8711	检品上架(详细)
8712	検品格納(ｿｰｽCD)
8713	Put-away Inspection (UPC)
8714	检品上架(代码CD)
8715	検品格納(汎用)
8716	Put-away Inspection (Generic)
8717	检品上架(通用)
8718	検品格納(一覧)
8719	Put-away Inspection (List)
8720	检品上架(一览)
8721	検品格納(ロケ)
8722	Put-away Inspection (Location)
8723	检品上架(库位)
8724	検品格納(数量)
8725	Put-away Inspection (Qty)
8726	检品上架(数量)
8727	検品格納確認
8728	Confirm Put-away Inspection
8729	检品上架确认
8730	検品格納(伝票No)
8731	Put-away Inspection (Doc No)
8732	检品上架(单据No)
8733	入荷検品(汎用)
8734	Receiving Inspection (Generic)
8735	收货检品(通用)
8736	データを登録します
8737	Register data?
8738	数据登陆
8739	計算数値
8740	Calculated Number
8741	计算数值
8742	棚卸数量荷姿
8743	Inventory Count Qty UOM
8744	盘点数量包装
8745	センタ(権限)
8746	Center (Permission)
8747	中心(权限)
8748	荷主(権限)
8749	Shipper (Permission)
8750	货主(权限)
8763	出荷内訳
8764	Shipping Breakdown
8765	发货明细
8766	引当内訳
8767	Allocation Breakdown
8768	分配明细
8802	小数有無フラグ
8803	Decimal Flag
8804	小数有无标识
8837	预定数包装
8838	予定数荷姿
8839	Plan UOM
8840	预定数包装
8841	指示数荷姿
8842	Instruction UOM
8843	指示数包装
8844	指示出庫内訳
8845	Instruct Picking Breakdown
8846	指示出库明细
8847	指示入庫内訳
8848	Instruction Put-away Breakdown
8849	指示入库明细
8850	棚卸内訳
8851	Inventory Count Breakdown
8852	盘点明细
8853	総数
8854	Total Qty
8855	总数
8856	検品数荷姿
8857	Inspection UOM
8858	検品数荷姿
8859	指示内訳
8860	Instruction Breakdown
8861	指示明细
8865	在庫内訳
8866	Inventory Breakdown
8867	库存明细
8868	引当可能内訳
8869	Available Breakdown
8870	分配可能明细
8871	引当済内訳
8872	Allocated Breakdown
8873	已分配明细
8874	作業中内訳
8875	In-Progress Breakdown
8876	作业中明细
8877	積送中内訳
8878	In-Transit Breakdown
8879	装运中明细
8880	現時点内訳
8881	Current Qty Breakdown
8882	现时点明细
8898	在庫数荷姿
8899	Inventory UOM
8900	库存数包装
8901	総在庫数荷姿
8902	Total Inventory UOM
8903	总库存数包装
8904	移動先総在庫数荷姿
8905	Total Qty (To) UOM
8906	移动先总在库数荷姿
8907	移動総数荷姿
8908	Total Transfer UOM
8909	移动总数荷姿
8910	前残内訳
8911	Previous Breakdown
8912	前残明细
8913	受入内訳
8914	Received Breakdown
8915	受入明细
8916	払出内訳
8917	Shipped Breakdown
8918	付出明细
8919	当日在庫内訳
8920	Current Inventory Breakdown
8921	当日库存明细
8922	在庫管理単位CD
8923	Inventory Management Unit Code
8924	库存管理单位CD
8925	在庫管理単位名称
8926	Inventory Management Unit Name
8927	库存管理单位名称
8928	差異数(以上)
8929	Discrepancy Qty (Minimum)
8930	差异数(以上)
8931	棚卸数荷姿
8932	Inventory Count UOM
8933	盘点数包装
8934	入数単位
8935	Unit Qty UOM
8936	入数单位
8940	梱包No.
8941	Packing No.
8942	捆包No.
8943	(From)
8944	(From)
8945	(From)
8946	(To)
8947	(To)
8948	(To)
8973	Bill of lading No
8974	Bill of Lading No.
8975	Bill of lading No
8976	Bill of Lading発行フラグ
8977	Bill of Lading Print Flag
8978	Bill of Lading发行标志
8979	Bill of Lading発行フラグ名称
8980	Bill of Lading Print Flag Name
8981	Bill of Lading发行标志名称
8982	Bill of Lading発行対象フラグ
8983	Bill of Lading Print Target Flag
8984	Bill of Lading发行对象标志
8985	Bill of Lading発行対象フラグ名称
8986	Bill of Lading Print Target Flag Name
8987	Bill of Lading发行对象标志名称
8988	Bill of Lading発行対象
8989	Bill of Lading Print Target
8990	Bill of Lading发行对象
8991	Payment Term
8992	Payment Term
8993	Payment Term
8994	Payment Term名称
8995	Payment Term Name
8996	Payment Term名称
8997	PrePaid
8998	PrePaid
8999	PrePaid
9000	PrePaid & Bill
9001	PrePaid & Bill
9002	PrePaid & Bill
9003	Collect
9004	Collect
9005	Collect
9006	COD Bill FRT
9007	COD Bill FRT
9008	COD Bill FRT
9009	COD NOT Bill FRT
9010	COD NOT Bill FRT
9011	COD NOT Bill FRT
9015	貨物追跡番号登録
9016	Register Cargo Tracking No.
9017	货物跟踪编号登陆
9018	貨物追跡No
9019	Cargo Tracking No
9020	货物跟踪No
9699	単行出荷検品
9700	Single Inspection
9701	单行发货检品
9729	単行出荷検品(No)
9730	         Single Inspection (No)
9731	单行发货检品(No)
9732	単行出荷検品(商品)
9733	      Single Inspection (Product)
9734	单行发货检品(商品)
9735	作業指示数選択
9736	    Operation Instruct Qty Select
9737	作业指示数选择
9738	単行出荷検品(箱登録)
9739	   Single Inspection (Box Register)
9740	单行发货检品(箱登陆)
9741	単行出荷検品(ｿｰｽCD)
9742	   Single Inspection (Source Code)
9743	单行发货检品(代码CD)
9744	作業指示数
9745	         Operation Instruct Qty
9746	作业指示数
9747	伝票残数
9748	Remaining Number of slips
9749	单据残数
10121	日付…
10122	Date…
10123	時刻…
10124	Time…
10125	勤怠入力(結果)
10126	Attendance Imput (Result)
10127	しました。
10128	 
10400	製造日
10413	入荷検品(ｽｷｬﾝ)
10414	ｽｷｬﾝ
10415	入荷時入数
10416	入力補助ケース数
10417	入力補助ピース数
10418	ケース枚数
10419	ピース枚数
10420	検品データを
10421	製造日が過ぎています
10422	ラベル印刷
10423	商品選択
10424	製造日確認
10425	入荷検品(中断)
10426	限界期限日
10427	限界製造日
10428	マスタ入数
10594	検品格納(ｽｷｬﾝ)
10595	検品格納(中断)
