CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
1006	323	0	2711	1	0
1007	323	1	3760	2	0
1008	323	3	3761	3	0
1009	324	10	3394	1	0
1010	324	20	3394	2	0
1011	324	30	3395	3	0
1012	324	40	3187	4	0
1013	324	45	3498	5	0
1014	324	50	3499	6	0
1015	324	60	3500	7	0
1016	324	70	3501	8	0
1017	325	01	3573	1	0
1018	325	02	3574	2	0
1019	325	03	3575	3	0
1020	325	04	3576	4	0
1021	326	01	3577	1	0
1022	326	02	3578	2	0
1023	326	03	3579	3	0
1024	326	04	3580	4	0
1025	326	05	3581	5	0
1026	326	06	3582	6	0
1027	326	07	3583	7	0
1028	327	01	1788	1	0
1029	327	02	3584	2	0
1030	328	0	1876	1	0
1031	328	1	1178	2	0
1032	328	2	2607	3	0
1033	329	1	3585	1	0
1034	329	2	1757	2	0
1035	329	3	3586	3	0
1036	329	4	3587	4	0
1037	329	5	3588	5	0
1038	329	6	3589	6	0
1039	330	1	3590	1	0
1040	330	2	3591	2	0
1041	330	3	3592	3	0
1042	330	4	3593	4	0
1043	330	5	3594	5	0
1044	330	6	3595	6	0
1045	331	6	3589	1	0
1046	332	01	1786	1	0
1047	333	1	3790	1	0
1048	333	2	3791	2	0
1049	334	01	3792	1	0
1050	334	02	3793	2	0
1051	334	03	3794	3	0
1052	334	04	3795	4	0
1053	335	0	3596	1	0
1054	335	1	3597	2	0
1055	336	1	2607	1	0
1056	336	2	1178	2	0
1057	337	1	3598	1	0
1058	338	0	3599	1	0
1059	338	1	390	2	0
1060	338	2	448	3	0
1061	339	0	3422	1	0
1062	339	1	3423	2	0
1063	340	1	1814	1	0
1064	340	2	3796	2	0
1065	341	Y	3600	1	0
1066	342	0	3861	1	0
1067	342	1	3601	2	0
1068	343	01	3602	1	0
1069	343	02	3603	2	0
1070	343	03	3604	3	0
1071	344	1	1758	1	0
1072	344	2	3605	2	0
1073	344	3	3606	3	0
1074	344	4	3607	4	0
1075	344	5	3608	5	0
1076	345	01	1790	1	0
1077	345	02	3807	2	0
1078	346	1	3609	1	0
1079	346	2	1809	2	0
1080	346	3	3606	3	0
1081	346	4	3607	4	0
1082	346	5	3608	5	0
1083	347	1	3505	1	0
1084	347	2	3610	2	0
1085	347	3	3610	3	0
1086	347	4	3610	4	0
1087	347	5	3610	5	0
1088	348	01	3611	1	0
1089	348	02	3612	2	0
1090	348	03	3613	3	0
1091	348	04	3614	4	0
1092	348	05	3615	5	0
1093	348	06	1163	6	0
1094	348	07	2277	7	0
1095	348	08	3616	8	0
1096	348	09	3617	9	0
1097	348	10	3618	10	0
1098	348	11	3619	11	0
1099	348	12	3620	12	0
1100	349	01	3420	1	0
1101	349	02	3621	2	0
1102	349	03	3622	3	0
1103	350	01	699	1	0
1104	350	02	886	2	0
1105	350	03	162	3	0
1106	351	P	3623	1	0
1107	351	D1	3624	2	0
1108	351	D2	3625	3	0
1109	351	D3	3626	4	0
1110	351	D4	3627	5	0
1111	352	Y	3643	1	0
1112	353	10	3797	1	0
1113	354	1	2007	1	0
1114	354	0	2624	2	0
1115	355	0	3628	1	0
1116	355	1	3629	2	0
1117	356	0	3630	1	0
1118	356	1	3631	2	0
1119	356	2	3632	3	0
1120	356	3	3633	4	0
1121	357	1	3634	1	0
1122	358	01	1756	2	0
1123	358	02	1757	3	0
1124	358	11	1758	4	0
1125	358	12	1759	5	0
1126	358	21	1760	6	0
1127	358	23	3635	7	0
1128	358	24	3636	8	0
1129	358	25	1763	9	0
1130	358	27	1912	10	0
1131	358	29	1913	11	0
1132	358	30	1480	12	0
1133	358	31	1484	13	0
1134	358	32	2087	14	0
1135	358	33	3637	15	0
1136	359	1	3468	1	0
1137	359	2	3638	2	0
1138	360	10	1879	1	0
1139	360	20	3639	2	0
1140	360	30	3640	3	0
1141	361	0	1846	1	0
1142	361	1	1847	2	0
1143	362	1	3380	1	0
1144	363	1	3798	1	0
1145	363	2	3799	2	0
1146	363	3	3800	3	0
1147	363	4	3801	4	0
1148	363	5	3802	5	0
1149	363	6	3803	6	0
1150	364	1	3643	1	0
1151	364	2	3643	2	0
1152	365	BLDL3390	3643	1	0
1153	366	BLDL3390	3643	1	0
1154	366	BLDL3350	3401	2	0
1155	367	01	2607	1	0
1156	367	02	1178	2	0
1157	368	0	3804	1	0
1158	368	1	3805	2	0
1159	369	1	160	1	0
1160	369	2	3641	2	0
1161	369	3	3642	3	0
1162	370	0	1778	1	0
1163	370	1	1777	2	0
1164	371	0	3814	1	0
1165	371	1	3815	2	0
1166	372	0	1819	1	0
1167	372	1	1820	2	0
1168	373	0	3816	1	0
1169	373	1	3817	2	0
1170	374	1	3820	1	0
1171	375	0	1890	1	0
1172	375	1	1891	2	0
1173	376	0	1890	1	0
1174	376	1	1891	2	0
1175	377	P135	3749	1	0
1176	377	P161	3822	2	0
1177	377	P801	3823	3	0
1178	377	P900	3824	4	0
1179	377	9999	3408	5	0
1180	378	0	1819	1	0
1181	378	1	1820	2	0
1182	379	0	3840	1	0
1183	379	1	3841	2	0
1184	380	1	3842	1	0
1185	381	0	3859	1	0
1186	381	1	3836	2	0
1187	382	P135	3749	1	0
1188	382	P161	3822	2	0
1189	382	P801	3823	3	0
1190	382	P900	3824	4	0
1191	383	0	3422	1	0
1192	383	1	3423	2	0
1193	384	0	2711	1	0
1194	384	1	2712	2	0
1195	385	0	2711	1	0
1196	385	1	2712	2	0
1197	386	0	2711	1	0
1198	386	1	2712	2	0
1199	387	0	2711	1	0
1200	387	1	2712	2	0
1201	388	0	2711	1	0
1202	388	1	2712	2	0
1203	389	0	1819	1	0
1204	389	1	1820	2	0
1205	390	20	3399	1	0
