COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1166	2501	mproductShapeByReplenishPProductShapeId.mshapeGrpDtl.mshape.shapeCd	1400	23	text	1	0		0	300		
1167	2501	mproductShapeByReplenishPProductShapeId.mshapeGrpDtl.mshape.vdictByShapeDictId.dictNm	1408	24	text	1	0		0	300		
1168	2501	replenishPNum	1522	25	number	1	0	right	0	170		
1169	2501	mproductShapeByMaxStoreProductShapeId.mshapeGrpDtl.mshape.shapeCd	1401	26	text	1	0		0	300		
1170	2501	mproductShapeByMaxStoreProductShapeId.mshapeGrpDtl.mshape.vdictByShapeDictId.dictNm	1409	27	text	1	0		0	300		
1171	2501	maxStoreNum	1529	28	number	1	0	right	0	170		
1172	2501	delFlg	1219	29	text	1	0		0	110		
1173	2501	bclassDtlByDelFlg.vdict.dictNm	1220	30	text	1	0		0	110		
1174	2501	mcenter.centerCd	202	31	text	1	0		0	220		
1175	2501	mcenter.centerNm	208	32	text	1	0		0	220		
1176	2509	lineNo	774	1	number	1	0	right	0	70	1	
1177	2509	locationCd	262	2	text	1	0		0	200	2	
1178	2509	locationNm	265	3	text	1	0		0	200	3	
1179	2509	warehouseCd	737	4	text	1	0		0	170	4	
1180	2509	zoneCd	738	5	text	1	0		0	140	5	
1181	2509	locationType	264	6	text	1	0		0	200	6	
1182	2509	pickingLocationFlg	225	7	text	1	0		0	200	7	
1183	2509	allocNgFlg	281	8	text	1	0		0	130	8	
1184	2509	pickingOrder	224	9	number	1	0	right	0	125	9	
1185	2509	allocOrder	285	10	number	1	0	right	0	75	10	
1186	2509	replenishProductCd	1398	11	text	1	0		0	200	11	
1187	2509	replenishStockTypeCd	1412	12	text	1	0		0	170	12	
1188	2509	replenishDepositCd	1413	13	text	1	0		0	170	13	
1189	2509	replenishPProductShapeCd	1400	14	text	1	0		0	170	14	
1190	2509	replenishPNum	1522	15	number	1	0	right	0	130	15	
1191	2509	maxStoreProductShapeCd	1401	16	text	1	0		0	170	16	
1192	2509	maxStoreNum	1529	17	number	1	0	right	0	130	17	
1193	2509	messageNm	998	18	text	1	0		0	400	18	
1194	2541	locationCd	262	1	text	1	0		0	200		
1195	2541	locationNm	265	2	text	1	0		0	250		
1196	2541	locationType	758	3	text	1	0		0	170		
1197	2541	bclassDtlByLocationType.vdict.dictNm	756	4	text	1	0		0	170		
1198	2541	pickingLocationFlg	225	5	text	1	0		0	140		
1199	2541	bclassDtlByPickingLocationFlg.vdict.dictNm	1399	6	text	1	0		0	170		
1200	2541	allocNgFlg	281	7	text	1	0		0	155		
1201	2541	bclassDtlByAllocNgFlg.vdict.dictNm	757	8	text	1	0		0	155		
1202	2541	mcenter.centerCd	202	9	text	1	0		0	200		
1203	2541	mcenter.centerNm	208	10	text	1	0		0	200		
1204	2551	locationCd	262	1	text	1	0		0	200		
1205	2551	locationNm	265	2	text	1	0		0	250		
1206	2562	matchingType	2352	1	text	1	1		1	300		
1207	2562	matchingKeyword	2353	2	text	1	1		1	300		
1208	2562	transformCd	2354	3	text	1	1		1	300		
1209	2562	delFlg	819	4	dropdown	1	1		0	110		
1210	2584	mcenter.centerCd	736	1	dropdown	1	1		1	200		
1211	2584	bizCd	327	2	text	1	1		1	200		
1212	2584	bizNm	329	3	text	1	1		1	300		
1213	2584	length	340	4	number	1	1	right	1	170		
1214	2584	presentNumber	348	5	number	1	1	right	1	170		
1215	2584	minNumber	369	6	number	1	1	right	1	170		
