MESSAGE_ID	MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	MESSAGE_NM	MESSAGE_ABBR	CULTURE_ID
1685	shipResultQtyCannotChangeCaseInspectError	error	wms	ケース出荷中は検品終了まで修正できません。	ケース出荷中変更不可	1
1686	shipResultQtyCannotChangeInspectOrInterruptError	error	wms	出荷検品中、検品中断中は修正できません。	出荷検品中、検品中断中変更不可	1
1687	shipResultQtyCannotInputExceptZeroError	error	wms	出荷停止中、または引当不可の商品は実績数に０以外は入力できません。	0以外入力不可	1
1688	shipResultQtyCannotInputMoreThanPlanError	error	wms	入荷予定数を超えています。	入荷予定数を超え入力不可	1
1689	shipResultQtyCannotInputMoreThanTotalError	error	wms	実績数の合計が指示数を超えています。	指示数超え入力不可	1
1690	shipResultQtyRegisterStockShortageConfirmation	confirm	wms	引当可能な在庫数がありません。宜しいですか？	登録確認	1
1691	shipResultRegisterContainedStockOutInformation	info	wms	引当で欠品が発生しましたが、出荷実績は登録されました。一覧で欠品内容を確認して下さい。[/]伝票番号：[0]で登録しました。	登録情報	1
1692	shipToCodeNotFoundError	error	wms	納品先が存在しません。	未存在	1
1693	shipToFlagNotFoundInPartnerMasterError	error	wms	取引先区分(納品先)が存在しません。	未存在	1
1694	shipUpdateStartError	error	wms	出庫指示済またはピッキング済または検品済以外の出荷指示に対して、出荷実績を訂正することはできません。	訂正	1
1695	shipWokingNumberCannotSelectCompletedError	error	wms	入力された荷揃番号は既に確定済です。	選択不可	1
1696	shipWokingOrPackingNumberCannotInputInspectedError	error	wms	対象の荷揃番号／梱包No.は検品済です。	検品済	1
1697	shipWokingOrPackingNumberCannotInputInspectingError	error	wms	荷揃番号／梱包No.は検品中です。	検品中	1
1698	shipWokingOrPackingNumberInputError	error	wms	荷揃番号／梱包No.に誤りがあります。	入力内容不正	1
1699	shipWokingOrPackingNumberNotInputError	error	wms	荷揃番号／梱包No.が入力されていません。	未入力	1
1700	shippingConfirmError	error	wms	出荷確定済の出庫指示に対して、梱包明細を修正することはできません。	修正	1
