メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
itemMasterError	error	base	ja-JP	項目マスタ取得エラー	取得失敗		en-US	Item Master acquisition error	Acquisition failure		zh-CN	项目主表取得错误	取得失败	
itemNecessaryableCannotSelectExceptionError	error	base	ja-JP	必須の項目は任意を設定できません。	必須項目		en-US	Required items can not be changed to optional.	Required		zh-CN	必须的项目无法设定为任意。	必须项目	
itemVisibleCannotSelectExceptionError	error	base	ja-JP	表示不可の項目は表示可を設定できません。	表示不可項目		en-US	Cannot set visibility of non-displayable object.	Invisible		zh-CN	非显示的项目无法设定为显示。	表示不可项目	
keyDownBackSpaceInfo	info	base	ja-JP	backspaceが押されました。[/]前ページへ移動しますか？			en-US	The Backspace key was pressed. [/]Do you really want to move to the previous page?			zh-CN	按下了backspace。[/]要回到之前页面吗？		
layoutNmNotFoundError	error	base	ja-JP	指定されたレイアウト名称は辞書マスタに登録されていません。	未登録		en-US	Specified layout name is not registered in Dictionary Master.	Not registered		zh-CN	指定的版面设计名称没有在辞典主表中登录。	未登录	
liteLoginErrorBecameLockout	error	base	ja-JP	ログインすることができません｡[/]ロックアウトされました。システム管理者に問い合わせてください。			en-US	Unable to log in. [/]Your account has been locked. Please contact your system administrator.			zh-CN	无法登录｡[/]已锁定。请向系统管理者询问。		
liteLoginErrorLockout	error	base	ja-JP	ログインすることができません｡[/]ロックアウトされています。システム管理者に問い合わせてください。			en-US	Unable to log in. [/]Your account is currently locked. Please contact your system administrator.			zh-CN	无法登录｡[/]已锁定。请向系统管理者询问。		
liteLoginErrorNoUser	error	base	ja-JP	[0]・[1]に誤りがあるか、登録されていません。			en-US	[0]/[1] are either invalid or not registered.			zh-CN	由于[0]・[1]错误、无法登录。		
liteLoginErrorUserAvailableOutOfPeriod	error	base	ja-JP	ログインすることができません｡[/]ユーザが利用期間外です。システム管理者に問い合わせてください。			en-US	Unable to log in. User is not activated or has expired. Please contact your system administrator.			zh-CN	无法登录｡[/]用户不在使用期。请向系统管理者询问。		
liteLoginInfoPasswordExpired	info	base	ja-JP	パスワードの有効期限が切れています。[/]パスワードを変更してください。			en-US	Your password is expired. Please change your password.			zh-CN	密码已过期。[/]请变更密码。		
liteLoginInfoPasswordReset	info	base	ja-JP	パスワードがリセットされています。[/]パスワードを変更してください。			en-US	Your password has been reset. [/] Please change your password.			zh-CN	密码已重置。[/]请变更密码。		
logoutTitle	info	base	ja-JP	ログアウト			en-US	LOGOUT			zh-CN	退出		
mainMenuTitle	info	base	ja-JP	メニュー			en-US	MENU			zh-CN	菜单		
masterNotFoundError	error	base	ja-JP	マスタ未存在	未存在		en-US	Master does not exist.	Does not exist		zh-CN	主表不存在	不存在	
maxError	error	base	ja-JP	最大[0]以下	最大[0]以下	[0]は[1]以下で入力してください。	en-US	Must be less than [0]	Must be less than [0]	[0] must be less than or [/]equal to [1].	zh-CN	最大[0]以下	最大[0]以下	[0]请输入[1]以下。
maxFileSize	error	base	ja-JP	サーバへ送信可能なファイルサイズを超えています。	ファイルサイズ超過		en-US	Upload exceeds the maximum file size allowed.	File size exceeded		zh-CN	超过能向服务器发送的文件尺寸。	超过文件尺寸	
maxlengthError	error	base	ja-JP	最大[0]文字以下	最大[0]文字以下	[0]は[1]文字以下で入力してください。	en-US	Maximum [0] characters	Maximum [0] characters	[0] must contain at most [/][1] characters.	zh-CN	最大[0]文字以下	最大[0]文字以下	[0]请输入[1]文字以下。
maxNumberOfFiles	error	base	ja-JP	サーバへ送信可能なファイル数を超えています。	ファイル数超過		en-US	Uploaded number of files exceeds server limits.	Number of files exceeded		zh-CN	超过能向服务器发送的文件数。	超过文件数	
menuGrpCdDuplicateError	error	base	ja-JP	メニューグループCDが重複しています。	重複		en-US	Duplicate Menu Group Code.	Duplicate data		zh-CN	菜单组CD重复。	重复	
menuMasterError	error	base	ja-JP	メニューマスタ取得エラー	取得失敗		en-US	Menu Master acquisition error	Acquisition failure		zh-CN	菜单主表取得错误	取得失败	
messageCdDuplicateError	error	base	ja-JP	メッセージCDが重複しています。	重複		en-US	Duplicate Message Code.	Duplicate data		zh-CN	信息CD重复。	重复	
messageMasterError	error	base	ja-JP	メッセージマスタ取得エラー	取得失敗		en-US	Message Master acquisition error	Acquisition failure		zh-CN	信息主表取得错误	取得失败	
messageNotFoundError	error	base	ja-JP	メッセージマスタに存在しません。	未存在		en-US	Does not exist in Message Master.	Does not exist		zh-CN	信息主表中不存在。	不存在	
