COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1657	2963	tshippingInstH.mcustomerBySupplyCustomerId.customerAbbr	710	62	text	1	0		0	300		
1658	2963	mproduct.productAbbr	475	63	text	1	0		0	300		
1659	2963	tshippingInstH.mclient.clientCd	299	64	text	1	0		0	200		
1660	2963	tshippingInstH.mclient.clientNm	305	65	text	1	0		0	200		
1661	2963	tshippingInstH.mcenter.centerCd	202	66	text	1	0		0	200		
1662	2963	tshippingInstH.mcenter.centerNm	208	67	text	1	0		0	200		
1663	2992	hreceiveH.histDt	641	1	date	1	0		0	150		
1664	2992	hreceiveH.receivePlanDt	574	2	date	1	0		0	150		
1665	2992	storeDt	589	3	date	1	0		0	150		
1666	2992	hreceiveH.supplierCd	393	4	text	1	0		0	200		
1667	2992	hreceiveH.supplierNm	396	5	text	1	0		0	300		
1668	2992	hstock.supplierAbbr	714	6	text	1	0		0	250		
1669	2992	hreceiveH.depositCd	634	7	text	1	0		0	160		
1670	2992	hreceiveH.depositNm	637	8	text	1	0		0	300		
1671	2992	hstock.depositAbbr	1670	9	text	1	0		0	150		
1672	2992	hreceiveH.clientReceiveNo	353	10	text	1	0		0	210		
1673	2992	hreceiveH.receiveSlipNo	186	11	text	1	0		0	170		
1674	2992	hreceiveH.mprocessType.processTypeCd	463	12	text	1	0		0	110		
1675	2992	hreceiveH.mprocessType.vdict.dictNm	814	13	text	1	0		0	150		
1676	2992	hreceiveH.receiveDeliveryStatus	1678	14	text	1	0		0	170		
1677	2992	hreceiveH.bclassDtlByReceiveDeliveryStatus.vdict.dictNm	804	15	text	1	0		0	190		
1678	2992	hstock.productCd	470	16	text	1	0		0	245		
1679	2992	hstock.productNm	474	17	text	1	0		0	300		
1680	2992	hstock.productAbbr	475	18	text	1	0		0	300		
1681	2992	hstock.janCd	180	19	text	1	0		0	205		
1682	2992	hstock.lot	266	20	text	1	0		0	170		
1683	2992	hstock.limitDt	315	21	date	1	0		0	150		
1684	2992	hstock.mstockType.stockTypeCd	384	22	text	1	0		0	110		
1685	2992	hstock.mstockType.vdict.dictNm	865	23	text	1	0		0	150		
1686	2992	planNum	628	24	number	1	0	right	0	95		
1687	2992	storeNum	588	25	number	1	0	right	0	150		
1688	2992	hstock.warehouseCd	499	26	text	1	0		0	85		
1689	2992	hstock.warehouseNm	501	27	text	1	0		0	300		
1690	2992	hstock.zoneCd	211	28	text	1	0		0	90		
1691	2992	hstock.zoneNm	213	29	text	1	0		0	170		
1692	2992	hstock.locationCd	262	30	text	1	0		0	200		
1693	2992	hstock.locationNm	265	31	text	1	0		0	250		
1694	2992	hstock.storeLabelNo	579	32	text	1	0		0	140		
1695	2992	hstock.oldStoreLabelNo	347	33	text	1	0		0	155		
1696	2992	storeFlgNm	580	34	text	1	0		0	125		
1697	2992	storeLocationCd	581	35	text	1	0		0	150		
1698	2992	storeLocationNm	583	36	text	1	0		0	250		
1699	2992	hreceiveH.clientCd	299	37	text	1	0		0	200		
1700	2992	hreceiveH.clientNm	305	38	text	1	0		0	200		
1701	2992	hreceiveH.centerCd	202	39	text	1	0		0	200		
1702	2992	hreceiveH.centerNm	208	40	text	1	0		0	200		
1703	3002	treceivePlanB.lineNo	774	1	number	1	0	right	0	60		
1704	3002	treceivePlanB.productCd	470	2	text	1	0		0	245		
1705	3002	mlocation.locationCd	262	3	text	1	1		0	200		
1706	3002	treceivePlanB.mproduct.janCd	180	4	text	1	0		0	205		
1707	3002	treceivePlanB.mproduct.productNm	474	5	text	1	0		0	300		
1708	3002	treceivePlanB.mproduct.productAbbr	475	6	text	1	0		0	300		
1709	3002	treceivePlanB.planNum	815	7	number	1	0	right	0	150		
1710	3002	unitNumBreakdown	2717	8	text	1	0	right	0	220		
1711	3002	storeNum	588	9	calcnumber	1	1	right	1	290		
1712	3002	storeNumMultiText	2922	10	number	0	1	right	0	110		
1713	3002	limitDt	315	11	date	1	1		0	150		
1714	3002	maxLimitDt	1281	12	date	1	0		0	130		
1715	3002	lot	266	13	text	1	1		0	170		
1716	3002	clientOrderNo	354	14	text	1	1		0	210		
1717	3002	storeLabelNo	579	15	text	1	1		0	140		
1718	3002	storeRecordBComment	587	16	text	1	1		0	300		
1719	3018	treceivePlanB.lineNo	774	1	number	1	0	right	0	60		
1720	3018	treceivePlanB.productCd	470	2	text	1	1		1	245		
1721	3018	treceivePlanB.mproduct.productNm	474	3	text	1	0		0	300		
1722	3018	treceivePlanB.mproduct.productAbbr	475	4	text	1	0		0	300		
1723	3018	treceivePlanB.mproduct.janCd	180	5	text	1	0		0	205		
1724	3018	treceivePlanB.planLocationCd	262	6	text	1	1		1	200		
1725	3018	unitNumBreakdown	2717	7	text	1	0	right	0	220		
